total player 0 Frame      1 total rec 0.000 MB  send 0.006 MB  time 556.0823 ms aver  rec 0.394 KB  send 5.771 KB  time 556.0823 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ____16 send ___504 time 16.9084 ms
total player 0 Frame      2 total rec 0.000 MB  send 0.006 MB  time 557.0684 ms aver  rec 0.197 KB  send 2.886 KB  time 278.5342 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0.9861 ms
total player 0 Frame      3 total rec 0.000 MB  send 0.006 MB  time 590.0496 ms aver  rec 0.141 KB  send 1.937 KB  time 196.6832 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ____30 send ____41 time 32.9812 ms
total player 0 Frame      4 total rec 0.001 MB  send 0.006 MB  time 592.0536 ms aver  rec 0.159 KB  send 1.531 KB  time 148.0134 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 2.004 ms
total player 0 Frame      5 total rec 0.001 MB  send 0.006 MB  time 593.0397 ms aver  rec 0.127 KB  send 1.225 KB  time 118.6079 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0.9861 ms
total player 0 Frame      6 total rec 0.001 MB  send 0.006 MB  time 606.0627 ms aver  rec 0.141 KB  send 1.073 KB  time 101.0105 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 13.0231 ms
total player 0 Frame      7 total rec 0.001 MB  send 0.006 MB  time 606.0627 ms aver  rec 0.121 KB  send 0.920 KB  time 86.58039 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      8 total rec 0.001 MB  send 0.006 MB  time 606.0627 ms aver  rec 0.106 KB  send 0.805 KB  time 75.75784 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      9 total rec 0.001 MB  send 0.006 MB  time 606.0627 ms aver  rec 0.094 KB  send 0.715 KB  time 67.3403 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     10 total rec 0.001 MB  send 0.006 MB  time 606.0627 ms aver  rec 0.085 KB  send 0.644 KB  time 60.60627 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     11 total rec 0.001 MB  send 0.007 MB  time 609.0359 ms aver  rec 0.096 KB  send 0.614 KB  time 55.36691 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 2.9732 ms
total player 0 Frame     12 total rec 0.001 MB  send 0.007 MB  time 609.0359 ms aver  rec 0.088 KB  send 0.563 KB  time 50.75299 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     13 total rec 0.001 MB  send 0.007 MB  time 612.0345 ms aver  rec 0.098 KB  send 0.543 KB  time 47.07958 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 2.9986 ms
total player 0 Frame     14 total rec 0.001 MB  send 0.007 MB  time 613.0367 ms aver  rec 0.091 KB  send 0.505 KB  time 43.78834 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 1.0022 ms
total player 0 Frame     15 total rec 0.001 MB  send 0.007 MB  time 614.0405 ms aver  rec 0.099 KB  send 0.492 KB  time 40.93604 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0038 ms
total player 0 Frame     16 total rec 0.001 MB  send 0.007 MB  time 614.0405 ms aver  rec 0.092 KB  send 0.461 KB  time 38.37753 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     17 total rec 0.002 MB  send 0.008 MB  time 615.0407 ms aver  rec 0.099 KB  send 0.452 KB  time 36.17886 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0002 ms
total player 0 Frame     18 total rec 0.002 MB  send 0.008 MB  time 615.0407 ms aver  rec 0.094 KB  send 0.427 KB  time 34.16893 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     19 total rec 0.002 MB  send 0.008 MB  time 617.0394 ms aver  rec 0.100 KB  send 0.421 KB  time 32.47576 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.9987 ms
