total player 0 Frame      1 total rec 0.000 MB  send 0.006 MB  time 849.9197 ms aver  rec 0.373 KB  send 5.771 KB  time 849.9197 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ____16 send ___504 time 22.0013 ms
total player 0 Frame      2 total rec 0.000 MB  send 0.006 MB  time 850.9564 ms aver  rec 0.187 KB  send 2.886 KB  time 425.4782 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 1.0366 ms
total player 0 Frame      3 total rec 0.001 MB  send 0.007 MB  time 887.954 ms aver  rec 0.334 KB  send 2.211 KB  time 295.9847 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___630 send ___861 time 36.9977 ms
total player 0 Frame      4 total rec 0.001 MB  send 0.007 MB  time 887.954 ms aver  rec 0.251 KB  send 1.658 KB  time 221.9885 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      5 total rec 0.001 MB  send 0.007 MB  time 888.9525 ms aver  rec 0.243 KB  send 1.389 KB  time 177.7905 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9984 ms
total player 0 Frame      6 total rec 0.001 MB  send 0.007 MB  time 889.9457 ms aver  rec 0.202 KB  send 1.158 KB  time 148.3243 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0.9933 ms
total player 0 Frame      7 total rec 0.006 MB  send 0.014 MB  time 901.9514 ms aver  rec 0.806 KB  send 1.931 KB  time 128.8502 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec __4431 send __6573 time 12.0057 ms
total player 0 Frame      8 total rec 0.006 MB  send 0.014 MB  time 901.9514 ms aver  rec 0.706 KB  send 1.690 KB  time 112.7439 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      9 total rec 0.006 MB  send 0.014 MB  time 902.9492 ms aver  rec 0.651 KB  send 1.537 KB  time 100.3277 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9978 ms
total player 0 Frame     10 total rec 0.006 MB  send 0.014 MB  time 902.9492 ms aver  rec 0.586 KB  send 1.383 KB  time 90.29492 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     11 total rec 0.006 MB  send 0.014 MB  time 902.9492 ms aver  rec 0.532 KB  send 1.257 KB  time 82.0863 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     12 total rec 0.006 MB  send 0.014 MB  time 903.9524 ms aver  rec 0.506 KB  send 1.179 KB  time 75.32937 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0032 ms
total player 0 Frame     13 total rec 0.006 MB  send 0.014 MB  time 905.9741 ms aver  rec 0.467 KB  send 1.088 KB  time 69.69032 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 2.0217 ms
total player 0 Frame     14 total rec 0.006 MB  send 0.014 MB  time 907.9738 ms aver  rec 0.448 KB  send 1.033 KB  time 64.85527 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.9997 ms
total player 0 Frame     15 total rec 0.006 MB  send 0.014 MB  time 907.9738 ms aver  rec 0.419 KB  send 0.964 KB  time 60.53159 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     16 total rec 0.006 MB  send 0.015 MB  time 910.9738 ms aver  rec 0.406 KB  send 0.923 KB  time 56.93586 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 3 ms
total player 0 Frame     17 total rec 0.006 MB  send 0.015 MB  time 911.966 ms aver  rec 0.382 KB  send 0.869 KB  time 53.64506 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0.9922 ms
total player 0 Frame     18 total rec 0.006 MB  send 0.015 MB  time 911.966 ms aver  rec 0.361 KB  send 0.821 KB  time 50.66478 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     19 total rec 0.007 MB  send 0.015 MB  time 912.9639 ms aver  rec 0.353 KB  send 0.794 KB  time 48.05073 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9979 ms
total player 0 Frame     20 total rec 0.007 MB  send 0.015 MB  time 912.9639 ms aver  rec 0.335 KB  send 0.754 KB  time 45.6482 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     21 total rec 0.007 MB  send 0.015 MB  time 913.9601 ms aver  rec 0.329 KB  send 0.733 KB  time 43.52191 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9962 ms
total player 0 Frame     22 total rec 0.007 MB  send 0.016 MB  time 914.9611 ms aver  rec 0.324 KB  send 0.714 KB  time 41.58914 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.001 ms
total player 0 Frame     23 total rec 0.007 MB  send 0.016 MB  time 916.9579 ms aver  rec 0.319 KB  send 0.697 KB  time 39.86774 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.9968 ms
total player 0 Frame     24 total rec 0.008 MB  send 0.016 MB  time 917.9542 ms aver  rec 0.314 KB  send 0.681 KB  time 38.24809 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9963 ms
total player 0 Frame     25 total rec 0.008 MB  send 0.016 MB  time 917.9542 ms aver  rec 0.302 KB  send 0.653 KB  time 36.71817 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     26 total rec 0.008 MB  send 0.017 MB  time 918.9544 ms aver  rec 0.298 KB  send 0.640 KB  time 35.3444 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0002 ms
total player 0 Frame     27 total rec 0.008 MB  send 0.017 MB  time 919.9532 ms aver  rec 0.287 KB  send 0.617 KB  time 34.07234 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0.9988 ms
total player 0 Frame     28 total rec 0.008 MB  send 0.017 MB  time 920.9492 ms aver  rec 0.285 KB  send 0.606 KB  time 32.89104 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.996 ms
total player 0 Frame     29 total rec 0.008 MB  send 0.017 MB  time 920.9492 ms aver  rec 0.275 KB  send 0.585 KB  time 31.75687 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     30 total rec 0.008 MB  send 0.017 MB  time 920.9492 ms aver  rec 0.266 KB  send 0.565 KB  time 30.69831 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     31 total rec 0.008 MB  send 0.017 MB  time 924.9498 ms aver  rec 0.264 KB  send 0.557 KB  time 29.83709 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 4.0007 ms
total player 0 Frame     32 total rec 0.008 MB  send 0.017 MB  time 924.9498 ms aver  rec 0.256 KB  send 0.540 KB  time 28.90468 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     33 total rec 0.008 MB  send 0.018 MB  time 925.9577 ms aver  rec 0.254 KB  send 0.533 KB  time 28.05932 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0079 ms
total player 0 Frame     34 total rec 0.008 MB  send 0.018 MB  time 925.9577 ms aver  rec 0.247 KB  send 0.517 KB  time 27.23405 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     35 total rec 0.009 MB  send 0.018 MB  time 927.9609 ms aver  rec 0.246 KB  send 0.511 KB  time 26.51317 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 2.0032 ms
total player 0 Frame     36 total rec 0.009 MB  send 0.018 MB  time 927.9609 ms aver  rec 0.239 KB  send 0.497 KB  time 25.77669 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     37 total rec 0.009 MB  send 0.018 MB  time 927.9609 ms aver  rec 0.232 KB  send 0.484 KB  time 25.08002 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     38 total rec 0.009 MB  send 0.018 MB  time 927.9609 ms aver  rec 0.226 KB  send 0.471 KB  time 24.42002 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     39 total rec 0.009 MB  send 0.018 MB  time 930.9617 ms aver  rec 0.226 KB  send 0.467 KB  time 23.87081 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 3.0008 ms
total player 0 Frame     40 total rec 0.009 MB  send 0.018 MB  time 931.9645 ms aver  rec 0.220 KB  send 0.455 KB  time 23.29911 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 1.0028 ms
total player 0 Frame     41 total rec 0.009 MB  send 0.018 MB  time 931.9645 ms aver  rec 0.215 KB  send 0.444 KB  time 22.73084 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     42 total rec 0.009 MB  send 0.018 MB  time 931.9645 ms aver  rec 0.210 KB  send 0.434 KB  time 22.18963 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     43 total rec 0.013 MB  send 0.025 MB  time 965.9656 ms aver  rec 0.308 KB  send 0.576 KB  time 22.46432 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec __4431 send __6573 time 34.0011 ms
total player 0 Frame     44 total rec 0.013 MB  send 0.025 MB  time 970.9655 ms aver  rec 0.301 KB  send 0.563 KB  time 22.0674 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 4.9999 ms
total player 0 Frame     45 total rec 0.013 MB  send 0.025 MB  time 970.9655 ms aver  rec 0.294 KB  send 0.551 KB  time 21.57701 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     46 total rec 0.013 MB  send 0.025 MB  time 972.9667 ms aver  rec 0.288 KB  send 0.539 KB  time 21.15145 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 2.0012 ms
total player 0 Frame     47 total rec 0.013 MB  send 0.025 MB  time 975.9695 ms aver  rec 0.286 KB  send 0.534 KB  time 20.76531 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 3.0028 ms
total player 0 Frame     48 total rec 0.013 MB  send 0.025 MB  time 975.9695 ms aver  rec 0.280 KB  send 0.523 KB  time 20.3327 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     49 total rec 0.013 MB  send 0.025 MB  time 975.9695 ms aver  rec 0.275 KB  send 0.512 KB  time 19.91774 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     50 total rec 0.014 MB  send 0.025 MB  time 976.9704 ms aver  rec 0.273 KB  send 0.508 KB  time 19.53941 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0009 ms
total player 0 Frame     51 total rec 0.014 MB  send 0.025 MB  time 976.9704 ms aver  rec 0.268 KB  send 0.498 KB  time 19.15628 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     52 total rec 0.014 MB  send 0.025 MB  time 977.9606 ms aver  rec 0.263 KB  send 0.489 KB  time 18.80693 ms max  rec 0.000 KB  send 0.000 KB  time 0.9902 ms curr  rec _____0 send _____0 time 0.9902 ms
total player 0 Frame     53 total rec 0.014 MB  send 0.026 MB  time 978.9611 ms aver  rec 0.262 KB  send 0.485 KB  time 18.47096 ms max  rec 0.000 KB  send 0.000 KB  time 1.0005 ms curr  rec ___211 send ___313 time 1.0005 ms
total player 0 Frame     54 total rec 0.014 MB  send 0.026 MB  time 979.9626 ms aver  rec 0.257 KB  send 0.476 KB  time 18.14746 ms max  rec 0.000 KB  send 0.000 KB  time 1.0016 ms curr  rec _____0 send _____0 time 1.0016 ms
total player 0 Frame     55 total rec 0.014 MB  send 0.026 MB  time 979.9626 ms aver  rec 0.252 KB  send 0.468 KB  time 17.8175 ms max  rec 0.000 KB  send 0.000 KB  time 1.0016 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     56 total rec 0.014 MB  send 0.026 MB  time 980.9573 ms aver  rec 0.252 KB  send 0.465 KB  time 17.51709 ms max  rec 0.000 KB  send 0.000 KB  time 1.0016 ms curr  rec ___211 send ___313 time 0.9946 ms
total player 0 Frame     57 total rec 0.014 MB  send 0.026 MB  time 980.9573 ms aver  rec 0.247 KB  send 0.457 KB  time 17.20978 ms max  rec 0.000 KB  send 0.000 KB  time 1.0016 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     58 total rec 0.014 MB  send 0.026 MB  time 981.966 ms aver  rec 0.246 KB  send 0.454 KB  time 16.93045 ms max  rec 0.000 KB  send 0.000 KB  time 1.0087 ms curr  rec ___211 send ___313 time 1.0087 ms
total player 0 Frame     59 total rec 0.014 MB  send 0.026 MB  time 981.966 ms aver  rec 0.242 KB  send 0.447 KB  time 16.64349 ms max  rec 0.000 KB  send 0.000 KB  time 1.0087 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     60 total rec 0.015 MB  send 0.027 MB  time 982.9631 ms aver  rec 0.242 KB  send 0.444 KB  time 16.38272 ms max  rec 0.000 KB  send 0.000 KB  time 1.0087 ms curr  rec ___211 send ___313 time 0.9971 ms
total player 0 Frame     61 total rec 0.015 MB  send 0.027 MB  time 982.9631 ms aver  rec 0.238 KB  send 0.437 KB  time 16.11415 ms max  rec 0.000 KB  send 0.000 KB  time 1.0087 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     62 total rec 0.015 MB  send 0.027 MB  time 983.9621 ms aver  rec 0.237 KB  send 0.435 KB  time 15.87036 ms max  rec 0.000 KB  send 0.000 KB  time 1.0087 ms curr  rec ___211 send ___313 time 0.999 ms
total player 0 Frame     63 total rec 0.015 MB  send 0.027 MB  time 983.9621 ms aver  rec 0.234 KB  send 0.428 KB  time 15.61845 ms max  rec 0.000 KB  send 0.000 KB  time 1.0087 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     64 total rec 0.015 MB  send 0.027 MB  time 985.9385 ms aver  rec 0.233 KB  send 0.426 KB  time 15.40529 ms max  rec 0.000 KB  send 0.000 KB  time 1.9764 ms curr  rec ___211 send ___313 time 1.9764 ms
total player 0 Frame     65 total rec 0.015 MB  send 0.027 MB  time 985.9385 ms aver  rec 0.230 KB  send 0.420 KB  time 15.16828 ms max  rec 0.000 KB  send 0.000 KB  time 1.9764 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     66 total rec 0.015 MB  send 0.027 MB  time 985.9385 ms aver  rec 0.226 KB  send 0.413 KB  time 14.93846 ms max  rec 0.000 KB  send 0.000 KB  time 1.9764 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     67 total rec 0.015 MB  send 0.028 MB  time 987.9297 ms aver  rec 0.226 KB  send 0.412 KB  time 14.74522 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec ___211 send ___313 time 1.9912 ms
total player 0 Frame     68 total rec 0.015 MB  send 0.028 MB  time 987.9297 ms aver  rec 0.223 KB  send 0.406 KB  time 14.52838 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     69 total rec 0.015 MB  send 0.028 MB  time 987.9297 ms aver  rec 0.219 KB  send 0.400 KB  time 14.31782 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     70 total rec 0.015 MB  send 0.028 MB  time 988.929 ms aver  rec 0.219 KB  send 0.399 KB  time 14.12756 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec ___211 send ___313 time 0.9993 ms
total player 0 Frame     71 total rec 0.015 MB  send 0.028 MB  time 988.929 ms aver  rec 0.216 KB  send 0.393 KB  time 13.92858 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     72 total rec 0.016 MB  send 0.028 MB  time 989.93 ms aver  rec 0.216 KB  send 0.392 KB  time 13.74903 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec ___211 send ___313 time 1.001 ms
total player 0 Frame     73 total rec 0.016 MB  send 0.028 MB  time 989.93 ms aver  rec 0.213 KB  send 0.387 KB  time 13.56069 ms max  rec 0.000 KB  send 0.000 KB  time 1.9912 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     74 total rec 0.016 MB  send 0.029 MB  time 991.9265 ms aver  rec 0.213 KB  send 0.386 KB  time 13.40441 ms max  rec 0.000 KB  send 0.000 KB  time 1.9965 ms curr  rec ___211 send ___313 time 1.9965 ms
total player 0 Frame     75 total rec 0.016 MB  send 0.029 MB  time 992.9253 ms aver  rec 0.210 KB  send 0.381 KB  time 13.239 ms max  rec 0.000 KB  send 0.000 KB  time 1.9965 ms curr  rec _____0 send _____0 time 0.9988 ms
total player 0 Frame     76 total rec 0.016 MB  send 0.029 MB  time 992.9253 ms aver  rec 0.208 KB  send 0.376 KB  time 13.06481 ms max  rec 0.000 KB  send 0.000 KB  time 1.9965 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     77 total rec 0.016 MB  send 0.029 MB  time 994.9247 ms aver  rec 0.208 KB  send 0.375 KB  time 12.9211 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec ___211 send ___313 time 1.9994 ms
total player 0 Frame     78 total rec 0.016 MB  send 0.029 MB  time 994.9247 ms aver  rec 0.205 KB  send 0.370 KB  time 12.75544 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     79 total rec 0.016 MB  send 0.029 MB  time 995.9234 ms aver  rec 0.205 KB  send 0.369 KB  time 12.60663 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec ___211 send ___313 time 0.9987 ms
total player 0 Frame     80 total rec 0.016 MB  send 0.029 MB  time 995.9234 ms aver  rec 0.202 KB  send 0.365 KB  time 12.44904 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     81 total rec 0.016 MB  send 0.029 MB  time 995.9234 ms aver  rec 0.200 KB  send 0.360 KB  time 12.29535 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     82 total rec 0.016 MB  send 0.029 MB  time 996.9248 ms aver  rec 0.200 KB  send 0.360 KB  time 12.15762 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec ___211 send ___313 time 1.0014 ms
total player 0 Frame     83 total rec 0.016 MB  send 0.029 MB  time 996.9248 ms aver  rec 0.198 KB  send 0.355 KB  time 12.01114 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     84 total rec 0.016 MB  send 0.029 MB  time 996.9248 ms aver  rec 0.195 KB  send 0.351 KB  time 11.86815 ms max  rec 0.000 KB  send 0.000 KB  time 1.9994 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     85 total rec 0.021 MB  send 0.036 MB  time 1007.923 ms aver  rec 0.245 KB  send 0.424 KB  time 11.85792 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec __4431 send __6573 time 10.9984 ms
total player 0 Frame     86 total rec 0.021 MB  send 0.036 MB  time 1007.923 ms aver  rec 0.242 KB  send 0.419 KB  time 11.72004 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     87 total rec 0.021 MB  send 0.036 MB  time 1008.929 ms aver  rec 0.242 KB  send 0.418 KB  time 11.59688 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec ___211 send ___313 time 1.0055 ms
total player 0 Frame     88 total rec 0.021 MB  send 0.036 MB  time 1008.929 ms aver  rec 0.239 KB  send 0.413 KB  time 11.4651 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     89 total rec 0.021 MB  send 0.037 MB  time 1009.94 ms aver  rec 0.239 KB  send 0.412 KB  time 11.34764 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec ___211 send ___313 time 1.0116 ms
total player 0 Frame     90 total rec 0.021 MB  send 0.037 MB  time 1009.94 ms aver  rec 0.236 KB  send 0.408 KB  time 11.22156 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     91 total rec 0.021 MB  send 0.037 MB  time 1010.945 ms aver  rec 0.236 KB  send 0.407 KB  time 11.10928 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec ___211 send ___313 time 1.0046 ms
total player 0 Frame     92 total rec 0.021 MB  send 0.037 MB  time 1010.945 ms aver  rec 0.233 KB  send 0.402 KB  time 10.98853 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     93 total rec 0.021 MB  send 0.037 MB  time 1011.946 ms aver  rec 0.231 KB  send 0.398 KB  time 10.88114 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 1.0008 ms
total player 0 Frame     94 total rec 0.022 MB  send 0.037 MB  time 1012.946 ms aver  rec 0.231 KB  send 0.397 KB  time 10.77602 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec ___211 send ___313 time 1.0007 ms
total player 0 Frame     95 total rec 0.022 MB  send 0.037 MB  time 1012.946 ms aver  rec 0.228 KB  send 0.393 KB  time 10.66259 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     96 total rec 0.022 MB  send 0.038 MB  time 1013.945 ms aver  rec 0.228 KB  send 0.392 KB  time 10.56193 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec ___211 send ___313 time 0.999 ms
total player 0 Frame     97 total rec 0.022 MB  send 0.038 MB  time 1013.945 ms aver  rec 0.226 KB  send 0.388 KB  time 10.45304 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     98 total rec 0.022 MB  send 0.038 MB  time 1015.948 ms aver  rec 0.226 KB  send 0.387 KB  time 10.36682 ms max  rec 4.000 KB  send 6.000 KB  time 10.9984 ms curr  rec ___211 send ___313 time 2.0027 ms
