total player 0 Frame      1 total rec 0.000 MB  send 0.006 MB  time 246.0137 ms aver  rec 0.373 KB  send 5.771 KB  time 246.0137 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ____16 send ___504 time 26.0003 ms
total player 0 Frame      2 total rec 0.000 MB  send 0.006 MB  time 246.0137 ms aver  rec 0.187 KB  send 2.886 KB  time 123.0069 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      3 total rec 0.000 MB  send 0.006 MB  time 331.0159 ms aver  rec 0.134 KB  send 1.937 KB  time 110.3386 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ____30 send ____41 time 85.0022 ms
total player 0 Frame      4 total rec 0.000 MB  send 0.006 MB  time 331.0159 ms aver  rec 0.101 KB  send 1.453 KB  time 82.75397 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      5 total rec 0.001 MB  send 0.006 MB  time 331.0159 ms aver  rec 0.123 KB  send 1.225 KB  time 66.20318 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame      6 total rec 0.001 MB  send 0.006 MB  time 331.0159 ms aver  rec 0.102 KB  send 1.021 KB  time 55.16932 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame      7 total rec 0.001 MB  send 0.006 MB  time 331.0159 ms aver  rec 0.118 KB  send 0.920 KB  time 47.28799 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame      8 total rec 0.001 MB  send 0.006 MB  time 332.0182 ms aver  rec 0.103 KB  send 0.805 KB  time 41.50227 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 1.0023 ms
total player 0 Frame      9 total rec 0.001 MB  send 0.006 MB  time 333.0186 ms aver  rec 0.092 KB  send 0.715 KB  time 37.00206 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 1.0004 ms
total player 0 Frame     10 total rec 0.001 MB  send 0.006 MB  time 333.0186 ms aver  rec 0.083 KB  send 0.644 KB  time 33.30186 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     11 total rec 0.001 MB  send 0.007 MB  time 334.0183 ms aver  rec 0.094 KB  send 0.614 KB  time 30.3653 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9997 ms
total player 0 Frame     12 total rec 0.001 MB  send 0.007 MB  time 334.0183 ms aver  rec 0.086 KB  send 0.563 KB  time 27.83486 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     13 total rec 0.001 MB  send 0.007 MB  time 335.0186 ms aver  rec 0.096 KB  send 0.543 KB  time 25.77066 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0003 ms
total player 0 Frame     14 total rec 0.001 MB  send 0.007 MB  time 335.0186 ms aver  rec 0.089 KB  send 0.505 KB  time 23.9299 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     15 total rec 0.001 MB  send 0.007 MB  time 335.0186 ms aver  rec 0.083 KB  send 0.471 KB  time 22.33457 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     16 total rec 0.001 MB  send 0.007 MB  time 335.0186 ms aver  rec 0.091 KB  send 0.461 KB  time 20.93866 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     17 total rec 0.001 MB  send 0.007 MB  time 335.0186 ms aver  rec 0.086 KB  send 0.434 KB  time 19.70698 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     18 total rec 0.002 MB  send 0.008 MB  time 335.0186 ms aver  rec 0.093 KB  send 0.427 KB  time 18.61214 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     19 total rec 0.002 MB  send 0.008 MB  time 335.0186 ms aver  rec 0.088 KB  send 0.405 KB  time 17.63256 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     20 total rec 0.002 MB  send 0.008 MB  time 337.0189 ms aver  rec 0.094 KB  send 0.400 KB  time 16.85094 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 2.0003 ms
total player 0 Frame     21 total rec 0.002 MB  send 0.008 MB  time 338.0213 ms aver  rec 0.090 KB  send 0.381 KB  time 16.09625 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 1.0024 ms
total player 0 Frame     22 total rec 0.002 MB  send 0.008 MB  time 338.0213 ms aver  rec 0.085 KB  send 0.364 KB  time 15.3646 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     23 total rec 0.002 MB  send 0.008 MB  time 339.0223 ms aver  rec 0.091 KB  send 0.362 KB  time 14.7401 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.001 ms
total player 0 Frame     24 total rec 0.002 MB  send 0.009 MB  time 340.0249 ms aver  rec 0.096 KB  send 0.360 KB  time 14.1677 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0026 ms
total player 0 Frame     25 total rec 0.003 MB  send 0.009 MB  time 341.0222 ms aver  rec 0.101 KB  send 0.358 KB  time 13.64089 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0.9973 ms
total player 0 Frame     26 total rec 0.003 MB  send 0.009 MB  time 341.0222 ms aver  rec 0.105 KB  send 0.356 KB  time 13.11624 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     27 total rec 0.003 MB  send 0.009 MB  time 341.0222 ms aver  rec 0.101 KB  send 0.343 KB  time 12.63045 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     28 total rec 0.003 MB  send 0.010 MB  time 341.0222 ms aver  rec 0.105 KB  send 0.342 KB  time 12.17937 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     29 total rec 0.003 MB  send 0.010 MB  time 341.0222 ms aver  rec 0.101 KB  send 0.330 KB  time 11.75939 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     30 total rec 0.003 MB  send 0.010 MB  time 341.0222 ms aver  rec 0.105 KB  send 0.329 KB  time 11.36741 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     31 total rec 0.003 MB  send 0.010 MB  time 342.0187 ms aver  rec 0.101 KB  send 0.319 KB  time 11.03286 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0.9965 ms
total player 0 Frame     32 total rec 0.003 MB  send 0.010 MB  time 343.0203 ms aver  rec 0.105 KB  send 0.319 KB  time 10.71938 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 1.0016 ms
total player 0 Frame     33 total rec 0.003 MB  send 0.010 MB  time 343.0203 ms aver  rec 0.102 KB  send 0.309 KB  time 10.39455 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     34 total rec 0.004 MB  send 0.011 MB  time 343.0203 ms aver  rec 0.105 KB  send 0.309 KB  time 10.08883 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     35 total rec 0.004 MB  send 0.011 MB  time 343.0203 ms aver  rec 0.102 KB  send 0.300 KB  time 9.80058 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     36 total rec 0.004 MB  send 0.011 MB  time 343.0203 ms aver  rec 0.105 KB  send 0.301 KB  time 9.528341 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     37 total rec 0.004 MB  send 0.011 MB  time 343.0203 ms aver  rec 0.102 KB  send 0.292 KB  time 9.270819 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
total player 0 Frame     38 total rec 0.004 MB  send 0.011 MB  time 343.0203 ms aver  rec 0.105 KB  send 0.293 KB  time 9.02685 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec ___211 send ___313 time 0 ms
total player 0 Frame     39 total rec 0.004 MB  send 0.011 MB  time 343.0203 ms aver  rec 0.102 KB  send 0.285 KB  time 8.795392 ms max  rec 0.000 KB  send 0.000 KB  time 0 ms curr  rec _____0 send _____0 time 0 ms
